image_id	region_id	phrase	Emotions	Emotions Triggers	Values	Values Triggers	Frames
2408710	280942	sheep standing on green grass			mft:Care, folk:Helping, bhv:Benevolence, folk:Consideration, mft:Authority	https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-grass-noun-1, https://w3id.org/framester/data/framestercore/OccupyRank	fs:OccupyRank,fs:Filling,fs:Adorning,fs:Color
2408710	280943	sheep standing on green grass			mft:Care, folk:Helping, bhv:Benevolence, folk:Consideration, mft:Authority	https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-grass-noun-1, https://w3id.org/framester/data/framestercore/OccupyRank	fs:OccupyRank,fs:Filling,fs:Adorning,fs:Color
2408710	280944	sheep standing on and eatiang green grass			mft:Care, folk:Helping, bhv:Benevolence, folk:Consideration, mft:Authority	https://w3id.org/framester/wn/wn30/instances/synset-standing-noun-1, https://w3id.org/framester/wn/wn30/instances/synset-grass-noun-1, https://w3id.org/framester/data/framestercore/OccupyRank	fs:OccupyRank,fs:Filling,fs:Adorning,fs:Color
2408710	280945	sheep lying on green grass			bhv:Benevolence, mft:Care, folk:Helping	https://w3id.org/framester/wn/wn30/instances/synset-grass-noun-1	fs:Animals,fs:Adorning,fs:BiologicalEntity,fs:Color,fs:Filling
2408710	280946	four white sheep					fs:Animals,fs:Color
2408710	280947	green pasture			bhv:Benevolence, folk:Helping, mft:Care	https://w3id.org/framester/wn/wn30/instances/synset-pasture-noun-1	fs:Color,fs:BiologicalArea
2408710	280948	black face of a sheep					fs:Animals,fs:ObservableBodyParts,fs:FacialExpression,fs:Color
2408710	280949	black face of a sheep					fs:Animals,fs:ObservableBodyParts,fs:FacialExpression,fs:Color
2408710	280950	black face of a sheep with blue mark on back			bhv:Achievement, folk:Accomplishment	https://w3id.org/framester/wn/wn30/instances/synset-mark-noun-1	fs:Animals,fs:Color,fs:Assessing,fs:ObservableBodyParts,fs:FacialExpression
2408710	280951	line of green trees					fs:Pattern,fs:Color
2408710	280952	sheep on a flat hill					fs:Animals,fs:NaturalFeatures
2408710	280953	sheep with blue mark on back			bhv:Achievement, folk:Accomplishment	https://w3id.org/framester/wn/wn30/instances/synset-mark-noun-1	fs:Assessing,fs:Animals,fs:ObservableBodyParts,fs:Color
2408710	280954	sheep with legs curled under and resting					fs:Animals,fs:Reshaping,fs:GoIntoShape,fs:HairConfiguration,fs:ManipulateIntoShape
